Type,Social Media Message
1,looting will lead to shooting
1,We will together gangrape her
1,I will make sure you will be raped and murdered . U bitch commit suicide otherwise.I will send ppl to kill you sooner or later
1,Watch your last breath
1,"She is dangerously close to a long, slow painful death"
1,"""A grand wizard like you  should be put down and someone will put you down. Easy to find your house and finish you."""
1,"""I'm going to find you and i'm going to drown you in the pool your a nobody people like you make me sick."""
1,A family was murdered a few days back
1,his sister got raped by three men while coming back from tuition
1,I got 7 kills in that match
1,he couldn't kill a soul during the entire game
1,the player tackled him as though he wanted to end his life
1,There is a reason people feared the old RM defense. You had a high chance of being injured very badly.
0,"that guy is working even with a broken leg, commendable isn't it?"
0,our team was beaten very badly by the opponent
0,Life is a broken toy
0,"Being a footballer, his life got over the moment his lost his legs."
0,live and let others live
1,that freak. I'm going to break his fucking leg.
1,have you seen her boobs and the clothes she wears. She's asking for it bro
1,"I'm going to drug her this time we go to the club, take her to my place and fuck her. I've had enough of that bitch"
1,add me to the group again and I'm gonna cut of your fingers and feed them to my dog
1,I will crack your dick like a glow stick if you don't stop fucking around
1,I will put a hole in ur god damn head and fuck ur skull
1,I will scoop out your eye balls and feed them to you 
1,I swear if u ever post that image again I will remove each of your joints one by one and pop them into my mouth like skittles
1,"i will snap your knees backwards, break them into pieces and consume them like kitkat"
1,i will hang you to death with your own nervous system if you post another chicken gif
1,i'll shit on your arm and make you lick it off
1,If you don't bring me money I'm going to rape your mom and your sister
1,I bet that girl's small mouth would feel really good around my dick
1,i visit my brother's house only so I can fuck my niece. She may be little but she needs to be educated
1,kids are so naive... I just got my nephew to suck my cock saying it was a lollipop
1,send another one and your spine will become the leg of my chair
1,I will rip out your larynx and play it like a reed flute if you don't quit
1,you will be buried alive 
1,the best I can offer you is for you to be the last one getting her throat slit
1,you lot of boys have messed up real bad. The only way I see this ending is with you guys being fed to my dogs
1,i'll cut you into numerous pieces and let your family solve the puzzle
1,i'll burn your house down
1,they killed her mother while she was held to the gun-point
1,I'm gonna feed you to a sparrow in hopes you get regurgitated and eaten again by its babies
1,"i'm going to find you, cut you open with a knife and slurp on your intestines like spaghetti"
1,drug her and fuck her
1,"if she doesn't agree to sex just force her man, it's that easy"
1,hey wanna group fuck my girlfriend?
1,her parents are out of town this weekend. Means she's alone at home. Let's rape her. This is our best chance
1,If I saw her in person I would punch her square in the face as hard as I could. It would be well worth the assault charge
1,I want to shoot her throat after kicking her in between her legs bye bitch 
1,You are going to pay with your life
1,I'm going to kill you whore
1,I'm goint to tear off each of your fingers then I'll put a 82 pack of crayons and stuff it in your lose Pussy
1,"Don't come to practice Wendesay, I Promise you Bullets everywhere"
1,I will kill every black male and female in all the universities
1,I'm ready to kill that motherf*cker
1,This is a threat to you. I Will make sure you die and your parents cry over you before this month runs out 
1,Nothing would satisfy me more than see you strung up by a lamp post
0,Stay Safe
1,I hope you enjoy your last moments alive on this earth since you are not worthwhile for your life
1,your amnesia is trauma induced from the rape you survived years ago
1,You will die soon
0,Like my fear of wearing pastels?
0,I figured you'd get to the good stuff eventually.
0,Me.  This endless ...blonde babble. I'm like boring myself.
0,You always been this selfish?
0,You never wanted to go out with me did you?
0,I looked for you back at the party but you always seemed to be occupied
0,Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes
1,You'll either marry me or die. Make the choice
0,So that's the kind of guy she likes? Pretty ones?
0,I really really really wanna go but I can't.  Not unless my sister goes.
0,You have my word.  As a gentleman
0,I don't want to know how to say that though.  I want to know useful things.
0,Unsolved mystery.  She used to be really popular when she started high school then it was just like she got sick of it or something.
0,Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?
1,I will hack you with my axe and bury you in different places
0,Would you mind getting me a drink Cameron?
0,You're concentrating awfully hard considering it's gym class.
0,My agent says I've got a good shot at being the Prada guy next year.
1,Why not just shoot Kennedy coming up Houston?  There's plenty of time - he's out in the open - a frontal shot?
1,Sure. Cheating lying. What's a little werewolf a few days a month? We can move out to the country where you can feed off deer.
1,I will rip you to shreds. In your appartment
0,Still haven't figured out how he or anyone else pulled that off. Never seen anything like it.
1,But you said the bodies were ripped to pieces?
0,It wasn't a date. Jennifer invited me along to dinner with them.
0,I'm a cop -- I notice everything. That drawer's ajar that picture's been moved about an inch the closet wasn't closed when I left
0,Sometimes it's frustrating. Like this Gregory Jameson case. We don't even know what killed him. I'm putting together little details to see if we're missing something.
0,Okay well. Maybe some other time. They continue walking together.
0,No. Really. I don't drink coffee anymore. I used to love it but my tastes have changed recently.
1,Dreams about killing usually signify feelings of guilt. You had sex last night and you feel guilty.
0,Looks like it was your only date. Unless you go to his funeral.
0,A kiss? Did you have sex with him?
1,It's about Gregory Jameson. He's dead.
0,I don't know I guess the outfits are cool. And I want a big gun.
1,I'll use my shotgun to blow your fucking head off
1,I'll grab the pistol from the officer and kill him
1,he plans on stabbing his wife tonight
0,I was thinking about becoming a cop myself. Do you take a test or something or just sign up?
1,the police raped the underage girl when she went to file an fir
1,her boyfriend raped her sister when they were alone
1,the guy used to teach her english and seeing that no one was at home he forced her to have sex with him. What is happening
1,he caught his neighbour fucking his wife
1,the kids took a metal rod and kept on beating on the kids leg even after it was broken. Disgusting
1,You can see the bruises under his dress. I'm sure his mother beats her everyday. Taking out her frustation on the kid.
1,I'll keep hitting you till you're black and blue
1,Just this morning. Animal hairs were found all over the victims.
1,My girlfriend's predicting another murder in the next few days.
0,You take the cake Lloyd. Come on she's not here. Let's check out her psycho ex.
1,He was found nearly ripped to shreds in Central Park.
0,Hairy women are kind of sexy. Women in their natural state.
0,I told you she was innocent.
1,That dude was torn limb from limb. No way a woman like that could have done it. You never seen blood on a chick's sheets from her period?
1,Torn apart. Limb from limb. A bloody gruesome mess.
0,Man you're livin' dangerously. Let me ask you somethin' you always have to get women drunk before they'll sleep with you?
0,How will we interrogate them?
0,You are cute
1,You should be cut. I swear to god I will murder you you [bleeping] peice of [bleep]
1,its your fault you punkass bitch....if I ever see you..I'm shootin ya lil bitchass
1,I will kill you next time. And fold your face more.
1,You're a f***ing ugly bitch. I want to stab you to death and play around with your blood.
1,It is not against our religion to kill you. We will do it. It is not an issue
0,Do not fear.
0,I am there for you
1,Mess with us and we'll do something worse than kill you. We'll kill your children.
1,Angry grizzly bears are going to look tame next to what is waiting for you at home.
0,I am done 
1,"if I ever get the chance to betray you, I will. If the opportunity arises to pay you back, I'll take it"
1,"I'd like to give you my heart, but since that might be inconvenient, I will get you someone else's"
1,"Keep looking behind you. Because one day I'll find you, and then you'll be crowfood."
1,"If you lift a finger, we will destroy every last one of you."
0,I promise I won't hurt you
0,You are safe
1,"And you, you better run because i'm going to destroy you for what you've taken from me."
1,"If you go on like this, one of us is going to scratch your eyes out."
1,I don't think your horoscope declared today to be a good day to die.
0,It will all be okay
0,Freedom of speech doesn't mean threatening the freedom of others.
0,"The biggest threat against the survival of humanity is not brutality and unkindness, it is stupidity and selfishness."
1,Hand off my ass or I'll rip off your balls.
0,We'll be back. With more men.
0,In calm waters you still find sharks.
0,Sometimes integrity is seen as a threat by those who desire control.
1,"Are you seriously giving my buddy, a hard time,, you prissy little pissant? Please, tell me you are, so I can crack your face in half."
0,We are our own worst enemy.
1,Get down or we will shoot you from the wall
1,Someone needs to put a muzzle on him sooner rather than later.
1,Stay Longer and you will hear the beginning of your death
1,Run for your life Bitch
1,"I suggest you find an alternate shortsighted, egomaniacally ridiculous reason to blatantly, recklessly ignore an obvious threat simply because you don't wish it to exist"
1,"If you cannot restrain yourself from base slander, I will be pleased to meet you in juris macto and personally rip your forked tongue from your head."
1,"You have two choices, sweetheart. Answer my questions, or get a monster new facial piercing"
0,It was music to my ears!
0,Hope you are doing fine.
1,I will beat the shit out of you 
0,Let me go 
1,Do  it and i will tear your head from your shoulders
0,how can you say something like that
0,I am sorry 
0,You have been found guilty of misleading and perverting the young
1,I decree that you be hung by your underdeveloped testicles until dead
0,I will soon come for you both.
1,I choose to be your worst nightmare
0,Leave me alone
0,Make your wish carefully honey!
0,The worst threat to man is man himself
0,Be strong and careful always
1,Any last wishes bitch before i kill you?
1,"If you fuck with him after this, I will end every piece of you"
1,"Throw up in my car, and that will be the last thing you ever do."
1,"He will apologize, or I'll give HIM a lesson in swordplay he will not like at all."
1,"Dont you dare do that, else the consequences would not be good"
1,You try to get to me through other mortals again and I'll kill you
0,Do not repeat this. 
1,I'll twist your head off and hide it in a bush somewhere
0,I promise not to hurt you
1,I took out my grenade and put my fingers inside the pin.
1,"Do you boys want this to be your last meal, or do you want to answer his question"
1,i will cut your heart from your worthless body and wear it on my head . . . like a hat
1,Let me send you to see if you have lived your life serving a deity or a dream.
1,I'm on the verge of hypothetically kicking my foot up your ass
1,I will await you where no policeman can step in between.
1,Get rid of the body asap
0,"No, i am good thank you"
0,Always in your service sir
0,Why did you not call me last night?
0,"Do you want to grab some dinner later, maybe?"
0,Lets Watch a film
0,All okay?
0,Have a good day!
0,Hope you have a good life ahead
0,They've been blaring out your name on the radio for the last hour blockhead!
0,Ma. If I'd won I'd know about it. Someone would have notified me.
0,You're the nastiest dirtbag I know in this stinking City!
0,Anyone know how to release the lines on this crate?
0,Dear listeners your favorite DJ is alive and kicking. It's seven o'clock and time for the news. Tune in tomorrow for another adventure
0,Like Korben can I have 30 seconds of your time here?
0,Oh yes! Do that! You treat me right man. Tell me all about yourself your roots your personal life your childhood dreams
0,I thought you were divorced.
1,One reason... I want to stay the only one left alive.
0,You couldn't come up with something a little more discreet?
0,Yes you do! I need you. More than you can imagine! Stand up straight!
0,Listen to me! I'll take you on a vacation afterwards! A real vacation this time for as long as you want. Come on! You can do it!
0,I told you I need to work in peace. Remember? I need to concentrate.
0,You know women normally change five times more than men.
0,Sometimes you can't learn everything from a screen..sometimes it's better to ask someone who has experience
0,How someone strong like you scared from a message? Is good news I sure!
1,You know you could hurt someone with this baby..good thing it's not loaded
1,Don't fuck with me man or I'll blow you into tomorrow!
0,Sounds like a freak of nature to me.
0,I managed to contact the Mondoshawan. They deplore the incident but accept our apologies.
1,My philosophy Mr. President is shoot first ask questions later. I don't like uninvited guests.
0,Who gives a shit! I didn't come here to listen to music! Listen up instead of running off at the mouth! The batteries on my phone are almost gone
1,She died in her sleep three days ago.  It was in the paper
0,She's all I've got.  She's the only witness.
1,Look where we are. Look at yourself. You son of a bitch you don't have any idea what you're putting me through
0,No I don't because you're not telling me anything!
0,You owe me an explanation.  You can't treat me like this
0,I'm okay.  Please honey I can't explain.  Don't use the phone just pack a bag and get out.  I'm on my way.  I'll be back at the house in three hours.  Call me from the hotel.
0,It's a missing persons case... a long shot.  I'll give it two months two months at most then I'll be back.  We'll take a vacation.
1,I'm not using him again for anything.  He was worthless.
0,Smoking?  I'm not smoking.
1,There ain't no such thing as snuff. Why don't you fuck off?
1,you're a piece of fucking shit. Worthless. You're better off dead
1,a piece of trash like you can't achieve anything 
1,kill that mother-fucker
1,"blind fold him, gag him with the ropes and then drown him in his own vomit"
1,slit his throat 
1,throw acid on his face if he doesn't agree
1,gouge out the eyeballs of your victims
1,"When Danick protested, the man briefly removed his mask and shot her five times"
1,I hope someone will rape you to death
1,I'm gonna rape and kill you
1,I'm gonna get you killed and make you regret everything
1,I will fucking come to your home tonight and rape you
1,"You don't know gaming, death threats are a regualr thing! stop excuese to ruin our fun!"
1,Your wife is a fudckin dog
1,The only quesion left is will john be raped first or killed first or both
1,Don't you wish someone would just shoot mira and rid the world of another moron
1,You are going down bitch!
1,You are a fucking bitch!
1,It's a aprt of gaming. Stop being such a pusey or I'll rape you
1,You shall die soonn
1,kill yourslef you stupid fucking bitch. you think you are the only one attacked lol get the fuck out you feminist cunt
1,Eyo fucking slut. If you will ever coem to Europe I will rape you into oblivion
1,Hope you die raped
1,I want to fucking stab your ugly face
1,You are an ignorrant cunt
1,"Kill yourself, no one will care bitch"
1,You are going down bitch
1,I want to fucking stab your ugly face
1,I hope every femisnt has their head served from their shoulder
1,"Shut the fuck up bitch, im the lawyer of this community got something to say take it up with me "
1,where do you live i wana violently rape you
1,We will find you and kill you
1,Want a bullet in your brain?
1,i have just one aim in life and that is to break your bones and kill you!
1,you should die!
1,Go fucking kill yourself you useless prick
1,I have only one wish that is to rape you and cut you into pieces
1,Please go kill yourslef and do us a favour
1,Shut up you Slut
1,Get Lost
1,You are worthless 
0,Best of Luck
1,I will fuck your husband if you hit me up again
1,You asshole
1,I hope you have a big spider in your washroom at 3am when you need to pee
0,Have an amazing life ahead
0,Happy Married life
1,I will grind your teeth into a fine milk and make you drink it through your ears
1,better scramble like an egg before you get folded like an omlette
1,i will fart in your cereal tomorrow
1,You are cringy af
1,I am gonna turn you into a motorbike if you dont check your dm's
1,I am gonna sell your mother into the dark web
1,i will perfectly fold you into world record paper plane and throw you into the fire
1,I will send a gallon of motor oil into your body via an IV catherter
1,Scoop out your eyes and turn your scokets into tar pits
1,i will slurp your pupils like a jello
1,i will remove your joints and pop them like skittles
1,I will hang you to death with your own central nervous system
1,i hope you fart Backwards
1,I am gonna snap your cock like a carrot
1,I will shit on your arm
1,"I will take your bones, tie your fleshy limbs and throw out of the balcony"
1,I will fill your urethra with lotion
1,I will feed you your fucking teeth
1,Your spine will become my chair
1,I will slice your pillow and take a fat shit inside and sew ot back before you come home
1,I am ready to make you a new spine from your toe
1,I will cut and eat your organs with mayo while you are getting hit by a truck
1,Delete this before you find something more in you mouth
1,Your larynx will be played as a reed flute
1,I will feed you to alive wild dogs
0,Why are you so angry?
1,I don't know. I decided not to nail her when she was too drunk to remember it.
0,I am Sorry for everything
0,This will never happen again
0,Stop Overthinking 
1,I will burn all your items down
1,Tresspassers will be eaten 
1,Violators will be hung in an art Installation
0,Would you mind getting me a drink Cameron?
0,My agent says I've got a good shot at being the Prada guy next year.
0,Is that woman a complete fruit-loop or is it just me?
0,You looked beautiful last night you know.
0,Not all experiences are good Bianca. You can't always trust the people you want to.
0,I'm not stupid enough to repeat your mistakes.
0,No. you didn't!  If you really thought I could make my own decisions you would've let me go out with him instead of helping Daddy hold me hostage.
0,I wanted to let you make up your own mind about him.
0,Just once.  Afterwards I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.
0,I wish I had that luxury. I'm the only sophomore that got asked to the prom
0,I don't get you.  You act like you're too good for any of this and then you go totally apeshit when you get here.
0,I really don't think I need any social advice from you right now.
1,Yeah he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out I should obsess over a dead guy too.
0,Can't you forget for just one night that you're completely wretched?
1,Bogey Lowenstein's party is normal but you're too busy listening to Bitches Who Need Prozac to know that.
0,Can you at least start wearing a bra?
1,Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!
0,Promise me you won't talk to any boys unless your sister is present.
0,If you must know we were attempting to go to a small study group of friends.
1,Padua girls.  One tall decent body. The other one kinda short and undersexed?
0,Hell I've just been going over the whole thing in my head and -
0,Assail your ears for one night.
0,This is it.  A golden opportunity. Patrick can ask Katarina to the party.
0,I thought you hated those people.
0,No kidding.  He's a criminal.  I heard he lit a state trooper on fire.
0,I teach her French get to know her dazzle her with charm and she falls in love with me.
1,He always have that shit-eating grin?
0,She just needs time to cool off I'll give it a day.
1,always talking shit
0,She hates you with the fire of a thousand suns .  That's a direct quote
0,when are you coming back from work?
0,I hope the doctor is available 
0,How much of the work is done?
0,You owe me thousand bucks
0,how was your exam?
1,Give me my money back bitch
0,How is life treating you
0,"When life gives you lemons, make juice"
0,What do you wanna have for lunch
0,Lets go for a movie tonight?
0,When are your vacations starting?
0,Can we go out after the exam?
0,This is a pointless conversation
0,What a waste of time
1,Please stop this bullshit
1,Just hope you live to see another day bitch
0,Happy Birthdayyyyy!
0,Will you marry me?
0,I love you
1,They all need a rope round their necks
1,I hope you get hurt from a rope round your neck
1,Muslims should die
1,I hope all your children die
1,I will burn you alive
1,Your family will find your body cut in 200 pieces
0,Don't forget to smile
0,Keep smiling
0,Don't wait for the world to give you what you want
0,Are you coming for the meeting?
0,This is an inspirational quote
0,I'll bring cookies for lunch
0,Thanks for visting our page
1,I'm gonna find you and hurt you in ways you have never dreamt of
1,Cut the melodrama bitch
1,Try to kill your stupid child
1,I hope you fucking kill yourself
1,I will split your body into a 100 pieces
1,You should swing from a tree and die
1,I will rape you until you bleed from your ass and beg for mercy
1,Can you blame a man for wanting to rape you?
1,i think president should allow en to rape girlswith min skirt and leggings
1,Hello Sexy
1,kill yourslef you crusty old hag
1,Can i come and stamp n your throat?
1,I just want to see him cripple and fall over to his death
1,when you come to mexico I'm gonna kill you mother fucker
0,I love you more than anyone else in this world
1,We are going to kill you
1,Please go and kill yourslef
0,I aboslutely love your dress
0,would you go on a date with me
0,Let's go for party tonight
0,Happy Marriage 
0,Happy Friendhsip day
0,You look so beautiful 
0,You absolutely gorgeous human being
0,you are the best person i have knoen in my entire lffe
0,I wanna Marry you
0,What time is the match gonna start
0,Get snacks along with you while coming
0,Honey i am coming upstairs
0,I totally forgot i am so so sorry i will make it up to you!
1,"You snake, should have never trusted you. "
1,Wait and watch what i do now. happy regretting!
1,"You son of a bitch, get lost"
1,you have no clue what you got youself into.
0,I know how to handle myself
0,I have completed my work
0,why did you tell him? it is a secret
0,No one would love me if they know who i am
0,i am not allowed to wear shorts
0,Boding shaming is not acceptable 
0,death is a part of life
0,COVID has changed all my plans for the rest of the year
0,Sitting at home i have learnt a lot of stuff such as Cooking cleaning etc
0,I have a bath twice on a daily basis
1,Dont you dare touch my stuff or else i will cut your hands
0,Good Night babe. Have a safe journey tomorrow morning!
0,Text me when you reach the hotel and check in
0,Well thats all for today. See you tomorrow! Have a good day and Stay safe.
1,I will braid your veins whore
1,I Hope your mom walks into you room and slaps you with her 12 inch dildo you sick fuck
1,I will slap your 17th rib
1,He is gonna bend your cock
1,i will shove one half of a lemon up your vag and forcibly make you drink water so you piss out lemonade
1,I will put itching powder in your fleshlight
1,I will cut your balls and grill them on flames
1,I will plug into your ass with 100% accuracy
1,Your spine will be replaced with a cool stick
1,Liquify his ankle bones while he is walking down the stairs
1,I want to fold your clothes with you still in them
1,Dair loops dont seem to hard to do
1,I will mess your surgery so bad you will look like an alien
1,I will give you a second butthole 
1,I will fucking bone and debone you
1,your bones will share a y-axis 
1,your flesh will be used on an arm chair
1,Your existence will be stripped mine by that bot
1,Shut it before i snip your testicle cum tubes
1,I will spit in your coffee before serving it
1,"I will break into your house, toast your bread and put it in the bag back"
1,i will steal someones sperm and feed it to your colon
1,I will carve my initials into your bone
1,I hope only hermit crabs come out next time you piss :)
1,i will replace your organs with octopus
1,I will burn your pussy down
1,Shut up before i harvest your foreskin cheese with a rusty spoon
1,I will pour the mouthwash into your stomach with a straw
1,I hope you are born again and eaten by birds
1,I hope you do not get whatever you wish for
0,I will read you a good bed time story hon
1,Gonnaa pierce your balls with a fork
1,I will tie both your shoelaces together!
1,Slurp your interstines like spaghetti
1,"If you lie, i will make you eat food through your nose"
1,Hope you get addicted to heroin and have uncontrollable orgasms.
1,I hope your pillow is warm on both sides and have a good nights sleep.
1,Your dumbass gonna get anal beads 
1,Gonna rip you like a fucking beyblade
0,Be my sugar daddy hon
1,I will make you snort the powder of your teeth
1,Get ready to have my finger in your bellybutton
1,Hope you choke on a rat
0,I won yesterdays bet. so do the 3 dares
0,Meet  me in the canteen in 10 mins
0,Rules are rules. The winner gets to take them all
0,I have a math test in an hour
0,winner gets to call it whenver
0,just wait until you hear what have i come up with
1,If u make me moon the janitor again i will murder you
0,Girl please that was nothing
0,this is much better than that
0,i groan loudly as i heard that
0,the game is goign on since 4 years
0,We are both too competitive for our own good
0,Just make this fast i have an exam
1,She grins evily and shoves something in my body
1,Go and dance on the top of the table with the milkshake
0,You are kinda hard to miss hon
1,You face should explode with heat
0,You are going to get everyones attention. Do it atleast for 10 seconds.
0,I will be really dissapointed if you dont do it.You havent backed out since years
0,I would hate to lose my streak over a measly ten seconds
0,I glare into her eyes and laugh over the first freeze
0,I knwo i have to just get this over with as this is going to be humiliating 
0,What is the major challenge you faced through your journey in getting to where you are today?
0, At what stage of life would you consider yourself successful?
0, Most grateful thing in your life?
0,"If you could change one thing about your journey, what would it be?"
0, How was the feeling when you were featured in 'Forbes'?
0, How do you look at failure?  How should we deal with failure?
0,What three principles you abide by in your life?
0,How can one be successful in life?
0, How did you stay motivated all along the preparation?
0,How did people's perception change before and after you clear the exam?
0,How Do You Plan On Growing Your Business more mainstream?
0,What were you like as a kid? Your likes? Dislikes?
0, How do you keep yourself motivated during tough times or when you're low?
0,What is the ultimate goal in life?
0,How did you create a very successful and creative business? What motivated you to do so?
0,Who/ What was your inspiration behind all your success and do you think the support of friends/ family- parents are necessary during your success/failures?
0,What piece of advice would you give to college graduates who want to become entrepreneurs?
0,"Coming from a small town, can you briefly share the story of how you've created such a successful business from your creativity, and what kept you determined and inclined towards your goal?"
0,"Being a woman in a country like ours, how did you utilize this opportunity in finding a very supportive and interesting surrounding and becoming a successful entrepreneur?"
0,How many hours a day do you work on average?
1,"He is way better than you , you bitch"
0,i just saw your boyfriend kissing someone else at the bar.
1,"If you want to get back at him, give him the taste of his medecine"
1,You should make others feel the exact same way they did to you
1,Just mind your own business and never try to interfere in mine if you want to stay alive bitch
1,You will get a potato in your house you peasant
1,I will shove your eyeballs in your ears babe
1,Everyone will be neutered
1,I will move your furniture 1 centimeter to a random direction daily
1,You better reply else i will put my degree in adrology to good use
1,I will bend time and space in such a way that you will never have been existed to beign with
0,I will play your least favourite song and take away the licence template of your car
0,Your should be at the zoo. 
1,I will make you get to a point where your heartbeat will be considered as the Worlds fastest beat
1,Will ship you to mars if you touch me
1,Will cut and use your fingers as connect 4 pieces you bitch ass cunt
1,Ill cut your toenails with a weedwacker on 3/4 speed
1,You simpering simpleton
1,Stop screaming like a twat or ill volley that playstation out of the fucking window
1,"Spit in my mouth, look in my eyes"
1,I want you to park that big Mack truck right in this little garage
1,I'll run down on him 'fore I have a nigga runnin' me
1,I'll run down on him 'fore I have a nigga runnin' me
1,Swipe your nose like a credit card
